FIPS,County_Name,county,precinct_id,dem,rep,third,total,pct_dem,pct_rep,pct_third,pct_margin,pop,med_age,med_inc,med_home_val,white_pop,black_pop,native_pop,asian_pop,hispanic_pop,hispanic_total,male_pop,masters_plus,bachelors_plus,stem_fields
37001,ALAMANCE,ALAMANCE,09N,26364.0,26919.0,9960.0,63243.0,41.69,42.56,15.75,-0.87,179165.0,39.4,65633.0,265200.0,104830.0,36910.0,1089.0,3291.0,27657.0,179165.0,87140.0,11760.0,23628.0,19891.0
37001,ALAMANCE,ALAMANCE,09S,44437.0,56930.0,18892.0,120259.0,36.95,47.34,15.71,-10.39,179165.0,39.4,65633.0,265200.0,104830.0,36910.0,1089.0,3291.0,27657.0,179165.0,87140.0,11760.0,23628.0,19891.0
37001,ALAMANCE,ALAMANCE,103,42055.0,44805.0,16647.0,103507.0,40.63,43.29,16.08,-2.66,179165.0,39.4,65633.0,265200.0,104830.0,36910.0,1089.0,3291.0,27657.0,179165.0,87140.0,11760.0,23628.0,19891.0
37001,ALAMANCE,ALAMANCE,104,28419.0,15643.0,8221.0,52283.0,54.36,29.92,15.72,24.44,179165.0,39.4,65633.0,265200.0,104830.0,36910.0,1089.0,3291.0,27657.0,179165.0,87140.0,11760.0,23628.0,19891.0
37001,ALAMANCE,ALAMANCE,10N,33917.0,41116.0,14190.0,89223.0,38.01,46.08,15.9,-8.07,179165.0,39.4,65633.0,265200.0,104830.0,36910.0,1089.0,3291.0,27657.0,179165.0,87140.0,11760.0,23628.0,19891.0
37001,ALAMANCE,ALAMANCE,10S1,70295.0,50464.0,22925.0,143684.0,48.92,35.12,15.96,13.8,179165.0,39.4,65633.0,265200.0,104830.0,36910.0,1089.0,3291.0,27657.0,179165.0,87140.0,11760.0,23628.0,19891.0
37001,ALAMANCE,ALAMANCE,11,35730.0,36579.0,13587.0,85896.0,41.6,42.59,15.82,-0.99,179165.0,39.4,65633.0,265200.0,104830.0,36910.0,1089.0,3291.0,27657.0,179165.0,87140.0,11760.0,23628.0,19891.0
37001,ALAMANCE,ALAMANCE,1210,18253.0,14956.0,8459.0,41668.0,43.81,35.89,20.3,7.92,179165.0,39.4,65633.0,265200.0,104830.0,36910.0,1089.0,3291.0,27657.0,179165.0,87140.0,11760.0,23628.0,19891.0
37001,ALAMANCE,ALAMANCE,124,17449.0,16910.0,9132.0,43491.0,40.12,38.88,21.0,1.24,179165.0,39.4,65633.0,265200.0,104830.0,36910.0,1089.0,3291.0,27657.0,179165.0,87140.0,11760.0,23628.0,19891.0
37001,ALAMANCE,ALAMANCE,125,18100.0,20746.0,10084.0,48930.0,36.99,42.4,20.61,-5.41,179165.0,39.4,65633.0,265200.0,104830.0,36910.0,1089.0,3291.0,27657.0,179165.0,87140.0,11760.0,23628.0,19891.0
