county,precinct_id,dem,rep,third,total,pct_dem,pct_rep,pct_third,pct_margin
GUILFORD,RC2,12476,6087,2377,20940,59.58,29.07,11.35,30.51
GUILFORD,SCLAY,3216,5384,1064,9664,33.28,55.71,11.01,-22.43
GUILFORD,SDRI,12432,10892,2783,26107,47.62,41.72,10.66,5.9
GUILFORD,SF1,4673,4474,1087,10234,45.66,43.72,10.62,1.94
GUILFORD,SF2,3410,3340,717,7467,45.67,44.73,9.6,0.94
GUILFORD,SF3,7201,4263,1279,12743,56.51,33.45,10.04,23.06
GUILFORD,SF4,6775,6164,1473,14412,47.01,42.77,10.22,4.24
GUILFORD,SMAD,5401,3924,1016,10341,52.23,37.95,9.82,14.28
GUILFORD,STOK,6171,6592,1604,14367,42.95,45.88,11.16,-2.93
GUILFORD,SUM1,7037,1613,904,9554,73.66,16.88,9.46,56.78
GUILFORD,SUM2,8067,2050,1055,11172,72.21,18.35,9.44,53.86
GUILFORD,SUM3,2356,3029,699,6084,38.72,49.79,11.49,-11.07
GUILFORD,SUM4,3661,6351,1181,11193,32.71,56.74,10.55,-24.03
GUILFORD,SWASH,1978,3215,581,5774,34.26,55.68,10.06,-21.42
HALIFAX,ABSENTEE,7962,2901,1085,11948,66.64,24.28,9.08,42.36
HALIFAX,BUTWD,1279,997,206,2482,51.53,40.17,8.3,11.36
HALIFAX,CONC,1616,478,200,2294,70.44,20.84,8.72,49.6
HALIFAX,ENF 2,6956,523,642,8121,85.65,6.44,7.91,79.21
HALIFAX,ENF1,11134,1373,964,13471,82.65,10.19,7.16,72.46
HALIFAX,EV HALIFAX,72771,20012,10521,103304,70.44,19.37,10.18,51.07
HALIFAX,EV RINGWOOD,42301,5270,3707,51278,82.49,10.28,7.23,72.21
HALIFAX,EV ROANOKE RAPIDS,109735,77249,17482,204466,53.67,37.78,8.55,15.89
HALIFAX,EV SCOTLAND NECK,25460,5438,2514,33412,76.2,16.28,7.52,59.92
HALIFAX,FAUCT,2071,2813,493,5377,38.52,52.32,9.17,-13.8
HALIFAX,HAL,2976,648,564,4188,71.06,15.47,13.47,55.59
HALIFAX,HOL,8843,1133,854,10830,81.65,10.46,7.89,71.19
HALIFAX,HPR,3533,2479,538,6550,53.94,37.85,8.21,16.09
